StudentName,SSN,Address,PhoneNumber,StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
Steven Fritz,761-37-1012,"6470 Brian Prairie Suite 894, Hawkinsshire, IL 56285",497-754-5985,1001,17,1,0,2,19.83372281,7,1,2,0,0,1,0,2.929195592,2
Katherine Thomas,366-73-8329,"4100 John Union, North Ryanchester, VA 49656",264-167-8160,1002,18,0,0,1,15.40875606,0,0,1,0,0,0,0,3.042914833,1
Michelle Porter,384-93-4035,"20991 Murray Glen Suite 696, West Kevinborough, WI 35397",552-955-6334,1003,15,0,2,3,4.210569769,26,0,2,0,0,0,0,0.112602254,4
Timothy Hayes,658-11-8721,"Unit 8530 Box 2627, DPO AP 23113",643-250-9207,1004,17,1,0,3,10.02882947,14,0,3,1,0,0,0,2.05421814,3
Tamara Strong,280-69-3161,"7262 Jennifer Port Apt. 939, Lake Hannahfurt, TX 49724",349-234-4350,1005,17,1,0,2,4.672495273,17,1,3,0,0,0,0,1.288061182,4
Timothy Bray,350-60-2895,"Unit 1290 Box 2795, DPO AE 98404",227-828-2675,1006,18,0,0,1,8.191218545,0,0,1,1,0,0,0,3.084183614,1
Sheri Tran,796-58-1532,"Unit 7779 Box 6210, DPO AE 34225",469-510-8735,1007,15,0,1,1,15.60168047,10,0,3,0,1,0,0,2.748237415,2
Tyler Green,267-85-6824,"033 Eric Mission, Jenniferton, AL 30902",888-248-8840,1008,15,1,1,4,15.42449631,22,1,1,1,0,0,0,1.360142712,4
Sherri Wallace,450-47-2844,"408 Anthony Track, East Kelly, ND 77346",257-425-2447,1009,17,0,0,0,4.562007558,1,0,2,0,1,0,1,2.89681919,2
Margaret Gonzalez,541-60-4731,"60729 Thomas Park Apt. 532, West Brooke, NJ 40499",837-569-6671,1010,16,1,0,1,18.44446636,0,0,3,1,0,0,0,3.57347421,0
Joann Hale,479-77-3734,"0440 Hampton Estate, West Julieport, DC 44416",322-296-2485,1011,17,0,0,1,11.85136366,11,0,1,0,0,0,0,2.147171625,3
Timothy Adams,203-88-2289,"7385 Jennifer Stravenue Suite 195, Bryanland, LA 66547",380-725-3065,1012,17,0,0,1,7.598485819,15,0,2,0,0,0,1,1.559594519,4
Linda Barajas,607-77-3962,"46796 Brittany Divide Suite 133, Jacksonville, PA 26576",741-926-4218,1013,17,0,1,1,10.03871162,21,0,3,1,0,0,0,1.520077815,4
Angelica Jones,512-24-5014,"47466 Hanson Ports, Lake Desiree, UT 62147",782-778-3952,1014,17,0,1,2,12.10142507,21,0,4,0,1,0,0,1.751580958,4
Christopher Kelly,337-01-9370,"97983 Crane Alley, Robinsonberg, AL 62505",498-465-1882,1015,18,1,0,1,11.19781064,9,1,2,0,0,0,0,2.396788117,3
Robert Porter,348-71-8990,"560 Brian Forest Apt. 160, West Lisaville, MT 16681",709-351-5259,1016,15,0,0,2,9.728100711,17,1,0,0,1,0,0,1.341520717,4
Michael Carpenter,528-68-7406,"452 Russell Mews Apt. 322, Greenbury, IN 97421",628-728-8280,1017,18,0,3,1,10.09865608,14,0,2,1,1,0,0,2.232175278,3
Paula Taylor,681-39-8711,"2368 Harold Valleys, Martinfurt, MN 94433",201-655-4901,1018,18,1,0,0,3.528238209,16,1,2,0,0,0,0,1.384404176,4
Brian Diaz,109-42-9587,"03195 Henderson Mission Apt. 572, South Brittanyland, NC 12157",959-243-9552,1019,18,0,1,3,16.25465809,29,0,2,1,0,0,1,0.469553323,4
Jennifer Beard,392-42-5815,"USNS Roberts, FPO AE 14871",800-654-3474,1020,17,0,0,1,10.8352064,9,0,2,0,0,1,0,2.395784095,3
Tyler Gill,864-90-7591,"065 Scott Valleys Suite 183, Port Steven, KY 41857",778-736-1860,1021,16,1,0,3,2.621597234,2,0,3,0,0,0,1,2.7784113,2
Andrew Blake,745-02-6289,"185 Hendricks Prairie Apt. 512, East Jonathanfurt, OK 52965",479-841-7518,1022,15,0,0,2,15.32314203,25,0,1,1,0,0,0,0.346894037,4
Kathryn Long,170-87-1185,"483 Hines Mountains Suite 303, North Kristinland, NE 38226",315-220-4570,1023,16,1,1,0,18.64887957,29,1,1,0,0,0,0,0.312546231,4
Matthew Harrison,374-20-0363,"76617 Parrish Spring, Lake Calvin, NV 24759",910-582-3588,1024,18,1,3,4,18.94613798,20,0,2,1,0,0,0,1.770131877,4
David Hodge,863-32-2317,"3220 Robinson Passage Apt. 209, Obrienstad, SD 30302",442-891-9334,1025,18,1,0,1,7.380354648,15,0,2,0,0,0,0,1.505155622,4
Jamie Orozco,206-64-6674,"2017 James Wall Apt. 152, Margaretland, CA 66328",331-576-1192,1026,16,1,0,3,2.710337471,5,0,4,0,0,1,0,2.977851918,2
Sharon Butler,143-67-2975,"243 Joshua Mountain Suite 305, Jenniferfort, KY 66374",673-531-8593,1027,16,0,0,1,10.36799253,2,0,2,0,1,0,0,2.948717672,2
Katie Garcia,204-21-2781,"3246 Jeffery Fort, Meadowsbury, WI 92465",810-585-4133,1028,16,1,0,3,2.252184587,8,0,3,0,0,1,0,2.14520472,3
Lisa Berry,062-88-4824,"258 Veronica Mall Apt. 773, Maryfurt, DE 17680",510-267-6275,1029,18,0,0,0,18.67974837,10,0,3,1,0,0,0,2.854803929,2
Darlene Smith,329-42-6553,"542 Patricia Lock, Petersstad, AK 42480",971-549-9996,1030,18,0,0,2,3.671592547,20,0,3,1,0,0,0,1.519441726,4
Richard Smith,219-15-5786,"PSC 2192, Box 4006, APO AE 60909",441-822-7911,1031,15,0,2,2,5.055317199,12,1,0,0,1,0,0,1.72712031,4
Patricia Bryant,521-79-1049,"52600 Graham Ferry Apt. 836, Sonyahaven, OH 05354",675-113-6335,1032,15,0,0,3,8.132730538,17,0,4,0,0,0,1,1.847535471,4
Linda Koch,644-94-4186,"4446 Hudson Trail Apt. 326, Gonzalezland, OR 81443",711-935-4803,1033,18,0,0,3,7.663289371,25,0,1,0,1,0,0,0.384616973,4
Jessica Turner,399-04-5384,"29898 Long Squares, Charleshaven, OH 94750",573-412-9647,1034,16,0,3,3,15.89325785,21,0,0,1,1,0,0,0.949406098,4
Jillian Mcdowell,273-22-4172,"280 Tracy Fields, Mackenziebury, IA 01278",444-583-9973,1035,16,0,0,3,9.126336411,27,1,2,1,1,0,0,1.140959418,4
Erin Salinas,828-43-4070,"124 Cannon Shores, North Christinefort, AL 08760",847-189-5564,1036,15,0,3,1,3.4153652,23,0,1,0,0,0,0,0.26147226,4
Tommy Campbell,593-38-1472,"8953 Marilyn Station, Lake Emily, NY 22238",916-516-3029,1037,18,0,0,1,5.34419791,26,1,1,0,0,0,0,0.218284857,4
Joshua Beck,095-53-9658,"0326 Wright Points, Cherylport, FL 75376",402-800-9968,1038,15,0,2,1,10.1822677,21,1,1,0,1,0,0,1.067763551,4
Philip Middleton,310-98-9611,"64907 King Fields Suite 119, South Johnchester, MO 07200",518-572-1558,1039,15,1,1,1,2.949078349,3,1,1,1,1,0,0,3.018905858,1
Nicole Mccarty,604-99-4595,"3972 Yolanda Groves Suite 013, North Marissa, MT 25297",711-689-9214,1040,17,1,2,1,12.23311351,21,1,3,1,1,0,0,1.526867832,4
